[12:32:51.226][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:rabbit>
[12:32:51.226][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:ravager>
[12:32:51.226][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:salmon>
[12:32:51.226][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:sheep>
[12:32:51.226][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:shulker>
[12:32:51.226][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:shulker_bullet>
[12:32:51.226][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:silverfish>
[12:32:51.226][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:skeleton>
[12:32:51.226][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:skeleton_horse>
[12:32:51.226][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:slime>
[12:32:51.226][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:small_fireball>
[12:32:51.226][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:sniffer>
[12:32:51.226][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:snow_golem>
[12:32:51.226][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:snowball>
[12:32:51.226][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:spawner_minecart>
[12:32:51.226][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:spectral_arrow>
[12:32:51.226][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:spider>
[12:32:51.226][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:squid>
[12:32:51.226][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:stray>
[12:32:51.226][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:strider>
[12:32:51.226][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:tadpole>
[12:32:51.226][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:text_display>
[12:32:51.226][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:tnt>
[12:32:51.226][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:tnt_minecart>
[12:32:51.226][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:trader_llama>
[12:32:51.226][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:trident>
[12:32:51.226][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:tropical_fish>
[12:32:51.226][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:turtle>
[12:32:51.226][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:vex>
[12:32:51.226][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:villager>
[12:32:51.226][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:vindicator>
[12:32:51.226][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:wandering_trader>
[12:32:51.226][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:warden>
[12:32:51.226][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:witch>
[12:32:51.227][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:wither>
[12:32:51.227][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:wither_skeleton>
[12:32:51.227][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:wither_skull>
[12:32:51.227][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:wolf>
[12:32:51.227][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:zoglin>
[12:32:51.227][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:zombie>
[12:32:51.227][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:zombie_horse>
[12:32:51.227][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:zombie_villager>
[12:32:51.227][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:zombified_piglin>
[12:32:51.227][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:player>
[12:32:51.227][INFO][CraftTweaker-Commands]: - <entitytype:minecraft:fishing_bobber>
[12:32:51.227][INFO][CraftTweaker-Commands]: - <entitytype:weeping_angels:weeping_angel>
[12:32:51.227][INFO][CraftTweaker-Commands]: - <entitytype:weeping_angels:generator>
[12:32:51.227][INFO][CraftTweaker-Commands]: - <entitytype:undeadnights:horde_zombie>
